number,word,example
7001,buffalo,"The buffalo grazed peacefully on the open plains, seemingly undisturbed by our presence."
7001,buffalo,We decided to drive around the herd of buffalo rather than risk getting stuck in the mud.
7001,buffalo,The museum has a fascinating exhibit on the history of the American buffalo and its importance to Native American cultures.
7001,buffalo,Buffalo wings are my favorite appetizer to order when I go out to watch a game.
7001,buffalo,The rancher worked tirelessly to protect his herd of buffalo from poachers and disease.
7002,abound,"Rumors abound about the company's impending merger, but no official announcement has been made."
7002,abound,"Opportunities for young entrepreneurs abound in the tech industry, especially in fields like artificial intelligence."
7002,abound,"During the summer months, fresh berries abound at the local farmers market."
7002,abound,"The old castle is beautiful, and stories of ghosts and hidden treasures abound within its walls."
7002,abound,"While challenges abound in the healthcare sector, so too does the potential for innovation and positive change."
7003,prairie,"The wind swept across the vast prairie, creating waves of tall, golden grass."
7003,prairie,"We drove for hours through the seemingly endless prairie, spotting only the occasional farmhouse in the distance."
7003,prairie,Conservation efforts are underway to restore native plant life to the degraded prairie ecosystem.
7003,prairie,"Growing up on the prairie, I learned to appreciate the beauty of wide-open spaces and the changing seasons."
7003,prairie,"The pioneers faced many challenges when they first settled on the prairie, including harsh weather and limited resources."
7004,conspicuous,The bright red sports car was conspicuous among the otherwise drab sedans in the parking lot.
7004,conspicuous,Her nervousness was conspicuous as she fidgeted with her hands before the presentation.
7004,conspicuous,"He made a conspicuous effort to avoid eye contact, which only made us more suspicious."
7004,conspicuous,The typo in the headline was conspicuous and embarrassing for the editor.
7004,conspicuous,"Despite her attempts to blend in, her designer handbag was quite conspicuous at the charity event."
7005,sticker,My daughter loves decorating her notebooks with colorful stickers.
7005,sticker,The mechanic put a service reminder sticker on my windshield.
7005,sticker,I need to order some 'fragile' stickers for the boxes before we ship them.
7005,sticker,There was a political sticker plastered on the lamppost.
7005,sticker,"The price sticker fell off the item, so I don't know how much it costs."
7006,adhere,Please adhere to the posted speed limit while driving through the neighborhood.
7006,adhere,"For best results, make sure the wallpaper paste is evenly applied so the paper will adhere properly to the wall."
7006,adhere,The company's success depends on its employees adhering to the highest ethical standards.
7006,adhere,"I tried to adhere the broken piece of pottery back together with glue, but it didn't hold."
7006,adhere,"Although I made a New Year's resolution to eat healthier, I find it difficult to adhere to it."
7007,bumper,The car's bumper was dented after the minor collision in the parking lot.
7007,bumper,"We had a bumper crop of tomatoes this year, more than we could possibly eat."
7007,bumper,"I'm expecting a bumper crowd at the concert tonight, so we should arrive early."
7007,bumper,The environmental protection laws have proven to be a bumper for local wildlife populations.
7007,bumper,"He gave me a bumper sticker that said, ""I love my dog!"""
7008,displeasure,The manager couldn't hide his displeasure when he saw the team's poor sales figures.
7008,displeasure,I expressed my displeasure to the waiter about the cold soup.
7008,displeasure,Her displeasure was evident in the sharp tone of her voice and the way she avoided eye contact.
7008,displeasure,"Despite my displeasure with the situation, I tried to remain professional and find a solution."
7008,displeasure,"To my displeasure, the concert was canceled at the last minute due to unforeseen circumstances."
7009,workplace,The new workplace policies aim to create a more inclusive and supportive environment for all employees.
7009,workplace,I'm really enjoying my new workplace; the people are great and the work is challenging.
7009,workplace,Bullying in the workplace is unacceptable and should be reported immediately.
7009,workplace,"To improve productivity, the company implemented flexible workplace arrangements, including remote work options."
7009,workplace,Safety regulations in the workplace are crucial for preventing accidents and ensuring the well-being of employees.
7010,ascribe,Many people ascribe their success to hard work and dedication.
7010,ascribe,Don't ascribe to malice what can be adequately explained by incompetence.
7010,ascribe,The museum curator was hesitant to ascribe the painting to a specific artist due to lack of definitive proof.
7010,ascribe,"While some ascribe her sudden wealth to luck, others believe she inherited it."
7010,ascribe,It's unfair to ascribe blame to him when he was simply following orders.
7011,gender,"The application form asks for your name, address, and gender."
7011,gender,Studies suggest that gender plays a significant role in career choices.
7011,gender,"I'm not sure of their gender, so I'll use gender-neutral pronouns."
7011,gender,The discussion focused on gender equality in the workplace and how to achieve it.
7011,gender,Have you heard about the new law regarding gender identity and expression?
7012,inequality,The growing inequality between the rich and poor is a major concern for many economists.
7012,inequality,There's a significant inequality in access to healthcare based on socioeconomic status.
7012,inequality,We need to address the gender inequality in the workplace by promoting equal pay and opportunities.
7012,inequality,The coach emphasized that talent alone wasn't enough; hard work could overcome any initial inequality in skill.
7012,inequality,"Despite efforts to promote equality, inequality persists in various aspects of society, from education to housing."
7013,colonize,"Historically, European powers sought to colonize vast territories in Africa and Asia for resources and political influence."
7013,colonize,"The ants are beginning to colonize the area under the porch, and we need to call an exterminator."
7013,colonize,Scientists are exploring the possibility of sending humans to colonize Mars in the future.
7013,colonize,"The invasive plant species is rapidly colonizing the riverbank, displacing native vegetation."
7013,colonize,Some argue that the effects of colonization continue to shape the political and economic landscape of many countries today.
7014,shoreline,The new development project is being carefully monitored to minimize its impact on the delicate shoreline ecosystem.
7014,shoreline,"We spent the afternoon walking along the shoreline, collecting seashells and enjoying the ocean breeze."
7014,shoreline,"Erosion is a significant problem in this area, constantly changing the shape of the shoreline."
7014,shoreline,The hotel offers stunning views of the shoreline and the distant islands.
7014,shoreline,"After the storm, debris was scattered all along the shoreline, requiring a large cleanup effort."
7015,aboriginal,The museum has a fascinating exhibit on aboriginal art from the Northern Territory.
7015,aboriginal,We learned about aboriginal land rights and their ongoing struggle for recognition in history class.
7015,aboriginal,Many aboriginal communities are working to preserve their traditional languages and cultural practices.
7015,aboriginal,The archaeologist discovered several artifacts suggesting the area was inhabited by aboriginal people thousands of years ago.
7015,aboriginal,"Before European settlement, Australia was solely populated by its aboriginal inhabitants, each with their own unique cultures and languages."
7016,computerize,The company decided to computerize its accounting system to improve efficiency.
7016,computerize,We need to computerize the library's card catalog so people can search for books online.
7016,computerize,"My grandfather is resistant to computerizing his business, preferring to stick with traditional methods."
7016,computerize,"They plan to computerize the entire manufacturing process, which will require significant investment."
7016,computerize,"Once we computerize the patient records, accessing information will be much faster and easier for doctors."
7017,shipment,We're expecting a shipment of new inventory to arrive sometime next week.
7017,shipment,"I tracked the shipment online, and it looks like it's currently in transit to the local distribution center."
7017,shipment,"The customer complained that the shipment was damaged upon arrival, so we need to file a claim with the carrier."
7017,shipment,"Due to unforeseen circumstances, there will be a slight delay in the shipment of your order."
