number,word,example
10001,nominal,"The company charged a nominal fee for the service, just enough to cover their costs."
10001,nominal,"Although he was the team captain in name, his role was largely nominal, as the other players made most of the decisions."
10001,nominal,"The increase in taxes this year is nominal, only about 0.5 percent."
10001,nominal,"After the initial investigation, the police considered him a nominal suspect, meaning they didn't have enough evidence to seriously pursue him."
10001,nominal,"She received a nominal award for her volunteer work, but the recognition meant more to her than any monetary value."
10002,accrue,Interest will accrue on the account at a rate of 5% per year.
10002,accrue,"Over time, a considerable amount of vacation time can accrue if you don't take any days off."
10002,accrue,"The longer the legal battle dragged on, the more legal fees began to accrue."
10002,accrue,"By investing early in the stock market, you allow your returns to accrue and compound over a longer period."
10002,accrue,"With each passing day, the evidence against him continued to accrue, making his defense increasingly difficult."
10003,financier,The company's growth was largely thanks to a savvy financier who saw its potential early on.
10003,financier,"He made his fortune as a financier, investing in various tech startups before they became household names."
10003,financier,The documentary explored the lives of several influential financiers and their impact on the global economy.
10003,financier,I'm looking for a financier to back my new project; do you know anyone who might be interested?
10003,financier,The politician was criticized for his close ties to a controversial financier known for unethical business practices.
10004,plaza,Let's meet at the fountain in the plaza after the movie.
10004,plaza,The town's annual Christmas tree lighting ceremony will be held in the main plaza this year.
10004,plaza,"Many small shops and restaurants surround the plaza, making it a popular gathering place."
10004,plaza,"The new development plans include a large, open plaza intended to encourage community events."
10004,plaza,"During the protest, demonstrators gathered in the plaza, chanting slogans and holding signs."
10005,accomplice,The getaway driver was charged as an accomplice to the bank robbery.
10005,accomplice,"He wouldn't reveal the name of his accomplice, even under intense questioning."
10005,accomplice,Are you suggesting that I was an accomplice in this prank? I had no idea!
10005,accomplice,"The prosecution argued that she was not merely present at the scene, but an active accomplice in the crime."
10005,accomplice,Finding an accomplice to help him move the heavy furniture proved more difficult than he anticipated.
10006,acquit,The jury decided to acquit the defendant due to lack of sufficient evidence.
10006,acquit,"Do you think the judge will acquit him, or will he be found guilty?"
10006,acquit,"Despite the public outcry, the court had no choice but to acquit him based on the evidence presented."
10006,acquit,She hoped the investigation would acquit her of any wrongdoing and clear her name.
10006,acquit,"Even though many suspected him, the prosecution couldn't prove his guilt beyond a reasonable doubt, so they had to acquit."
10007,aria,The soprano's performance peaked during the emotional aria in the second act.
10007,aria,"Even though I don't understand Italian, the power in her voice during the aria gave me chills."
10007,aria,"After a brief pause, the orchestra swelled and the tenor began his powerful aria, silencing the entire hall."
10007,aria,"He launched into a spontaneous aria about his lost car keys, much to the amusement of his friends."
10007,aria,"The opera was beautiful, but I found the final aria a bit too long and repetitive."
10008,alleviate,The doctor prescribed medication to alleviate the patient's pain.
10008,alleviate,Taking a warm bath can often alleviate muscle soreness after a strenuous workout.
10008,alleviate,The government implemented new policies to alleviate poverty in the region.
10008,alleviate,I hope this donation will help alleviate some of the suffering caused by the natural disaster.
10008,alleviate,Sharing your feelings with a trusted friend can sometimes alleviate feelings of anxiety and loneliness.
10009,wrath,The king unleashed his wrath upon the disloyal subjects who dared to question his authority.
10009,wrath,"After discovering the vandalism, her wrath was palpable; you could feel the anger radiating from her."
10009,wrath,The environmental group directed their wrath at the corporation responsible for the oil spill.
10009,wrath,"He feared his father's wrath more than anything, knowing the consequences of disobedience would be severe."
10009,wrath,I wouldn't want to incur the wrath of the internet; they can be a relentless and unforgiving mob.
10010,annul,The judge decided to annul the contract due to a clear breach of its terms.
10010,annul,"After discovering the fraud, they moved quickly to annul the election results."
10010,annul,The couple decided to annul their marriage shortly after the ceremony when they realized they weren't compatible.
10010,annul,I hope the university doesn't annul my degree just because I missed a few deadlines.
10010,annul,"The King had the power to annul any law passed by Parliament, which caused a great deal of political tension."
10011,ferocity,"The lion attacked its prey with unexpected ferocity, leaving no chance for escape."
10011,ferocity,"She approached the negotiation with a ferocity that surprised even her own team, determined to secure the best possible deal."
10011,ferocity,The storm raged with such ferocity that trees were uprooted and power lines were torn down.
10011,ferocity,"Despite her small size, the chihuahua defended her owner with surprising ferocity when the stranger approached."
10011,ferocity,His ferocity on the football field earned him a reputation as a formidable opponent.
10012,pharmaceutical,The pharmaceutical company announced promising results from their latest clinical trial.
10012,pharmaceutical,My doctor recommended a pharmaceutical intervention to manage my high blood pressure.
10012,pharmaceutical,"She's studying pharmaceutical sciences at the university, hoping to develop new drugs."
10012,pharmaceutical,The government is working to regulate the pharmaceutical industry and ensure fair pricing.
10012,pharmaceutical,Have you seen the news about the potential side effects of that new pharmaceutical?
10013,burgeon,"With the arrival of spring, the garden began to burgeon with colorful flowers and lush greenery."
10013,burgeon,Local artists hope that the new community center will help creativity to burgeon in the neighborhood.
10013,burgeon,"Despite initial setbacks, her confidence continued to burgeon as she gained experience in the field."
10013,burgeon,The small town's economy started to burgeon after the tech company relocated its headquarters there.
10013,burgeon,"Online learning platforms burgeon with new courses every day, catering to a wide range of interests and skill levels."
10014,anesthetic,The dentist applied a topical anesthetic to numb my gums before the root canal.
10014,anesthetic,"Before the surgery, the anesthesiologist explained the risks and benefits of the general anesthetic they would be using."
10014,anesthetic,"The speaker's monotone voice had an almost anesthetic effect, lulling many in the audience to sleep."
10014,anesthetic,Local anesthetic was injected directly into the wound to minimize the pain during the stitching process.
