number,word,example
9001,tactic,The lawyer's tactic of repeatedly objecting was clearly meant to frustrate the witness.
9001,tactic,Our sales team is trying a new tactic this quarter: offering free consultations to potential clients.
9001,tactic,"He tried to distract me with flattery, but I saw through his obvious tactic."
9001,tactic,What's your go-to tactic when dealing with difficult customers?
9001,tactic,The general's winning tactic was to divide the enemy forces and attack them separately.
9002,backfire,The company's attempt to cut costs by using cheaper materials backfired when customers complained about the poor quality.
9002,backfire,"I tried to play a prank on my brother, but it totally backfired and I ended up getting in trouble instead."
9002,backfire,"The politician's aggressive campaign tactics backfired, alienating many moderate voters."
9002,backfire,Her plan to surprise him with a party backfired when he found out about it a week in advance.
9002,backfire,"Ignoring the warning signs and pushing the system too hard ultimately backfired, leading to a complete system failure."
9003,catastrophic,The oil spill had a catastrophic effect on the local marine ecosystem.
9003,catastrophic,"If the dam were to break, the resulting flood would be catastrophic for the towns downstream."
9003,catastrophic,Failing to address climate change now could lead to catastrophic consequences in the future.
9003,catastrophic,Losing our biggest client would be catastrophic for our small business; we'd likely have to shut down.
9003,catastrophic,Her reckless driving nearly caused a catastrophic accident.
9004,enigmatic,"The Mona Lisa's smile is famously enigmatic, leading to endless speculation about her thoughts."
9004,enigmatic,His sudden departure from the company was quite enigmatic; no one understood his reasons for leaving.
9004,enigmatic,She gave me an enigmatic look that I couldn't quite decipher.
9004,enigmatic,"The old poem was full of enigmatic symbols and metaphors, making it difficult to interpret."
9004,enigmatic,"Despite being interviewed multiple times, the suspect remained enigmatic, revealing very little about his involvement."
9005,baffle,The complex instructions for assembling the furniture completely baffled me.
9005,baffle,His sudden change of heart baffled everyone who knew him.
9005,baffle,The magician's trick was designed to baffle the audience with its illusion of impossibility.
9005,baffle,I'm baffled as to why the computer keeps crashing; I've tried everything!
9005,baffle,The detective admitted that the cryptic note left at the scene baffled even the most experienced members of the force.
9006,denim,She paired a crisp white blouse with dark denim jeans for a classic look.
9006,denim,The store is having a sale on all denim jackets this weekend.
9006,denim,He always felt most comfortable in his worn denim shirt and boots.
9006,denim,The designer is experimenting with different washes and textures of denim in their new collection.
9006,denim,I need to find a good tailor who can shorten these denim pants without ruining the original hem.
9007,beset,The hikers were beset by mosquitoes as they made their way through the swamp.
9007,beset,Our company has been beset by financial difficulties ever since the pandemic started.
9007,beset,"Despite being beset with doubts, she decided to pursue her dream of becoming a doctor."
9007,beset,The small village was beset by bandits who stole their crops and livestock.
9007,beset,"He felt beset on all sides by responsibilities and demands, leaving him with little time for himself."
9008,sluggish,"After a heavy lunch, I always feel sluggish and unproductive for the rest of the afternoon."
