number,word,example
11001,artifice,"The politician's carefully crafted speech was full of artifice, designed to appeal to voters without making any real commitments."
11001,artifice,I could see through her artifice; she was clearly trying to manipulate me with flattery.
11001,artifice,"The elaborate stage design, while impressive, felt like pure artifice and lacked genuine emotion."
11001,artifice,"Despite the artifice of the situation, they managed to have a genuine connection."
11001,artifice,"He relied on artifice and deception to climb the corporate ladder, alienating his colleagues in the process."
11002,abate,"The storm showed no sign of abating, and we decided to postpone the camping trip."
11002,abate,"Hopefully, the medication will help the pain to abate over the next few days."
11002,abate,"Despite the initial excitement, interest in the project began to abate after the first month."
11002,abate,The company offered a discount to abate concerns about the product's high price.
11002,abate,"As the investigation continued, the rumors and speculation started to abate, replaced by factual reporting."
11003,bile,"The politician's speech was full of bile and hateful rhetoric, alienating many potential supporters."
11003,bile,"After arguing with her sister, she felt a surge of bile rising in her throat as she tried to contain her anger."
11003,bile,He spoke with such bile about his former employer that it was clear the experience had deeply scarred him.
11003,bile,"Some people believe that excessive stress can lead to an overproduction of bile, affecting digestion."
11003,bile,"The critic's review was pure bile, tearing apart the film without offering any constructive feedback."
11004,sultan,The old city was once ruled by a powerful sultan who controlled trade routes throughout the region.
11004,sultan,We learned in history class about the Ottoman sultans and their vast empire.
11004,sultan,"The opulent palace, once home to a sultan, is now a popular tourist attraction."
11004,sultan,Legend says the sultan disguised himself as a commoner to understand the needs of his people.
11004,sultan,"He acted like a sultan, ordering everyone around and expecting to be waited on hand and foot."
11005,abdicate,"The aging CEO decided to abdicate his position to his daughter, believing she was ready to lead the company."
11005,abdicate,"Under immense pressure from the public, the king chose to abdicate the throne rather than risk a civil war."
11005,abdicate,I refuse to abdicate my responsibilities as a parent just because things get difficult.
11005,abdicate,Some analysts believe the prime minister will soon abdicate his leadership role due to declining health.
11005,abdicate,Don't abdicate your power to decide what's best for you; make your own choices!
11006,lesion,The doctor suspects the rash is caused by a fungal lesion.
11006,lesion,"During the colonoscopy, they discovered a small lesion that needed to be biopsied."
11006,lesion,Repeated scratching of the skin can sometimes lead to the development of a lesion.
11006,lesion,"The MRI revealed a lesion on his brain, but further tests are needed to determine if it's benign or malignant."
11006,lesion,"After the accident, she noticed a painful lesion forming near her knee, likely from the impact."
11007,accede,"After much deliberation, the board decided to accede to the CEO's request for a larger budget."
11007,accede,"He reluctantly acceded to her wishes, knowing that arguing would only make things worse."
11007,accede,The government is unlikely to accede to the rebels' demands for immediate independence.
11007,accede,"I hope the university will accede to my application for a scholarship; otherwise, I won't be able to afford tuition."
11007,accede,"Despite his initial reservations, he eventually acceded to the plan, recognizing its potential benefits."
11008,duchy,"The Grand Duke ruled his duchy with a firm hand, overseeing both its military and economic affairs."
11008,duchy,"After years of war, the small duchy finally regained its independence and elected a new council."
11008,duchy,"Visiting the medieval castle, we learned about the history of the duchy and its role in the region's past."
11008,duchy,"My grandmother always spoke fondly of her childhood in the rural duchy, remembering the simple life and close-knit community."
11008,duchy,The treaty stipulated that the conquered territory would be reorganized as a new duchy under the control of the allied forces.
11009,arbitration,"Hoping to avoid a costly lawsuit, the company agreed to binding arbitration to resolve the contract dispute."
11009,arbitration,"We decided to submit our neighborly disagreement to arbitration, hoping a neutral third party could find a fair solution."
11009,arbitration,The employee's contract included a clause requiring all employment-related disputes to be settled through arbitration.
11009,arbitration,"After months of failed negotiations, the union threatened to call a strike unless the company agreed to arbitration."
11009,arbitration,My lawyer suggested that arbitration might be a quicker and less expensive alternative to going to court for this particular issue.
11010,allay,The doctor tried to allay my fears about the surgery by explaining the procedure in detail.
11010,allay,A warm cup of tea can often allay feelings of anxiety and stress.
11010,allay,The company issued a statement to allay concerns about potential job losses after the merger.
11010,allay,He hoped a heartfelt apology would allay her anger after the misunderstanding.
11010,allay,The government implemented new policies to allay public fears regarding food safety.
11011,hemorrhage,The company is expected to hemorrhage money if they don't find a way to cut costs.
11011,hemorrhage,"After the accident, he was rushed to the hospital suffering from a severe hemorrhage."
11011,hemorrhage,The article detailed how the country's best doctors were hemorrhaging to other nations seeking better opportunities.
11011,hemorrhage,The constant negativity and infighting caused a hemorrhage of support for the political party.
11011,hemorrhage,"If you experience any unusual bleeding or hemorrhage, you should consult a doctor immediately."
11012,amalgamate,The two companies decided to amalgamate in order to better compete in the global market.
11012,amalgamate,We need to amalgamate all of our data into a single database for easier analysis.
11012,amalgamate,The chef plans to amalgamate traditional French techniques with modern Asian flavors to create a unique dining experience.
11012,amalgamate,"Wouldn't it be simpler to amalgamate these two departments, considering how much overlap there is in their responsibilities?"
11012,amalgamate,The historical society seeks to amalgamate various local archives into a comprehensive digital resource for researchers.
11013,confederation,"The Swiss Confederation, known for its neutrality, has a long history of decentralized governance."
11013,confederation,Several independent states formed a confederation to pool resources and strengthen their collective defense.
11013,confederation,"Historians often debate the effectiveness of the Articles of Confederation, the first attempt at a unified government in the United States."
11013,confederation,The labor unions considered forming a confederation to increase their bargaining power with major corporations.
11013,confederation,A loose confederation of small businesses emerged to lobby the government for tax breaks and reduced regulations.
11014,incursion,"The wildlife preserve suffered a brief incursion by poachers last week, resulting in the loss of several animals."
11014,incursion,We've noticed a worrying incursion of weeds from the neighbor's yard into our garden.
11014,incursion,The company's aggressive marketing strategy was seen as an incursion into the territory of its competitors.
11014,incursion,"The rebels staged a daring incursion into the capital city, hoping to seize control of key government buildings."
11014,incursion,"After the heavy rains, there was an incursion of water into the basement, damaging some of our stored items."
