number,word,synonym
7001,buffalo,bison
7001,buffalo,American bison
7001,buffalo,water buffalo
7001,buffalo,Cape buffalo
7001,buffalo,Bubalus bubalis
7001,buffalo,Syncerus caffer
7001,buffalo,aurochs (historical)
7001,buffalo,beefalo (hybrid)
7001,buffalo,bovine
7001,buffalo,cattle
7001,buffalo,grazing animal
7001,buffalo,ruminant
7001,buffalo,ungulate
7001,buffalo,plains bison
7001,buffalo,wood bison
7001,buffalo,wisent (related European species)
7001,buffalo,yak (related Asian species)
7001,buffalo,domestic buffalo
7001,buffalo,wild buffalo
7002,abound,teem
7002,abound,flourish
7002,abound,thrive
7002,abound,proliferate
7002,abound,swarm
7002,abound,brim
7002,abound,overflow
7002,abound,superabound
7002,abound,be plentiful
7002,abound,be abundant
7002,abound,be rife
7002,abound,be copious
7002,abound,be prevalent
7002,abound,be profuse
7002,abound,be saturated
7002,abound,be replete
7002,abound,be crawling with
7002,abound,be thick with
7002,abound,multiply
7002,abound,increase
7002,abound,burst forth
7002,abound,run riot
7002,abound,prevail
7002,abound,exist in large numbers
7002,abound,be present in great quantity
7002,abound,resound
7002,abound,resonate
7002,abound,be rich in
7002,abound,be well-stocked with
7002,abound,be filled with
7002,abound,be awash in
7002,abound,swarm with
7002,abound,be alive with
7002,abound,be bursting with
7002,abound,be overflowing with
7002,abound,superfluous
7002,abound,exuberate
7002,abound,redound
7002,abound,pervade
7003,prairie,grassland
7003,prairie,grasslands
7003,prairie,plain
7003,prairie,plains
7003,prairie,flatland
7003,prairie,flatlands
7003,prairie,open country
7003,prairie,veld
7003,prairie,steppe
7003,prairie,savanna
7003,prairie,pampas
7003,prairie,llano
7003,prairie,campo
7003,prairie,bushveld
7003,prairie,rangeland
7003,prairie,pasture
7003,prairie,lea
7003,prairie,mead
7003,prairie,heath
7003,prairie,moor
7003,prairie,down
7003,prairie,lowland
7003,prairie,extensive grassland
7003,prairie,wide open space
7003,prairie,great plains
7003,prairie,undulating plain
7003,prairie,tract of grassland
7003,prairie,grassy expanse
7003,prairie,open range
7003,prairie,natural pasture
7004,conspicuous,noticeable
7004,conspicuous,obvious
7004,conspicuous,visible
7004,conspicuous,evident
7004,conspicuous,apparent
7004,conspicuous,clear
7004,conspicuous,plain
7004,conspicuous,easily seen
7004,conspicuous,remarkable
7004,conspicuous,striking
7004,conspicuous,prominent
7004,conspicuous,outstanding
7004,conspicuous,eye-catching
7004,conspicuous,unmissable
7004,conspicuous,impossible to miss
7004,conspicuous,flagrant
7004,conspicuous,blatant
7004,conspicuous,glaring
7004,conspicuous,pronounced
7004,conspicuous,salient
7004,conspicuous,manifest
7004,conspicuous,patent
7004,conspicuous,overt
7004,conspicuous,bold
7004,conspicuous,emphatic
7004,conspicuous,ostentatious
7004,conspicuous,showy
7004,conspicuous,flashy
7004,conspicuous,extravagant
7004,conspicuous,theatrical
7004,conspicuous,demonstrative
7004,conspicuous,marked
7004,conspicuous,signal
7004,conspicuous,discernible
7004,conspicuous,perceptible
7004,conspicuous,observable
7004,conspicuous,detectable
7004,conspicuous,in evidence
7004,conspicuous,on display
7004,conspicuous,in full view
7004,conspicuous,unconcealed
7004,conspicuous,unhidden
7004,conspicuous,distinguished
7004,conspicuous,well-defined
7004,conspicuous,well-marked
7004,conspicuous,easily noticeable
7004,conspicuous,arresting
7004,conspicuous,attention-grabbing
7004,conspicuous,remarkable
7004,conspicuous,singular
7004,conspicuous,preeminent
7004,conspicuous,egregious
7004,conspicuous,scandalous
7004,conspicuous,rank
7004,conspicuous,arrant
7004,conspicuous,palpable
7004,conspicuous,tangible
7004,conspicuous,perspicuous
7004,conspicuous,perspicuous
7004,conspicuous,eminent
7004,conspicuous,to the fore
7004,conspicuous,standing out
7004,conspicuous,sticking out like a sore thumb
7004,conspicuous,front and center
7005,sticker,adhesive label
7005,sticker,label
7005,sticker,decal
7005,sticker,appliqué
7005,sticker,cling
7005,sticker,paster
7005,sticker,gummed label
7005,sticker,pressure-sensitive label
7005,sticker,transfer
7005,sticker,emblem
7005,sticker,insignia
7005,sticker,badge
7005,sticker,motif
7005,sticker,patch
7005,sticker,tab
7005,sticker,ticket
7005,sticker,marker
7005,sticker,placard
7005,sticker,seal
7005,sticker,tag
7005,sticker,identification
7005,sticker,vignette
7005,sticker,window cling
7005,sticker,bumper sticker
7005,sticker,self-adhesive
7005,sticker,self-stick label
7005,sticker,cling film
7005,sticker,adhesive film
7005,sticker,static cling
7005,sticker,brand
7005,sticker,trademark
7006,adhere,stick
7006,adhere,cling
7006,adhere,fasten
7006,adhere,attach
7006,adhere,bond
7006,adhere,cement
7006,adhere,cohere
7006,adhere,hold fast
7006,adhere,cleave
7006,adhere,affix
7006,adhere,fuse
7006,adhere,unite
7006,adhere,comply
7006,adhere,obey
7006,adhere,follow
7006,adhere,abide by
7006,adhere,conform to
7006,adhere,uphold
7006,adhere,maintain
7006,adhere,observe
7006,adhere,respect
7006,adhere,be devoted to
7006,adhere,be attached to
7006,adhere,be loyal to
7006,adhere,be true to
7006,adhere,hearken
7006,adhere,submit
7006,adhere,mind
7006,adhere,keep
7006,adhere,fulfill
7006,adhere,discharge
7006,adhere,execute
7006,adhere,implement
7006,adhere,effectuate
7006,adhere,carry out
7006,adhere,toe the line
7006,adhere,glue
7006,adhere,paste
7006,adhere,connect
7006,adhere,link
7006,adhere,agree
7006,adhere,accord
7006,adhere,be consistent with
7006,adhere,harmonize
7006,adhere,correspond
7006,adhere,square
7006,adhere,tally
7006,adhere,coincide
7006,adhere,gravitate towards
7006,adhere,be consonant with
7006,adhere,be congruent with
7006,adhere,hold together
7006,adhere,remain loyal
7006,adhere,be steadfast
7006,adhere,be unwavering
7006,adhere,be resolute
7006,adhere,be firm
7006,adhere,be committed
7006,adhere,be dedicated
7006,adhere,subscribe to
7006,adhere,acquiesce to
7006,adhere,defer to
7006,adhere,give allegiance to
7006,adhere,pay attention to
7006,adhere,heed
7006,adhere,adopt
7006,adhere,espouse
7006,adhere,embrace
7006,adhere,accept
7006,adhere,ratify
7006,adhere,sanction
7006,adhere,validate
7006,adhere,authenticate
7006,adhere,certify
7006,adhere,endorse
7006,adhere,warrant
7006,adhere,accredit
7006,adhere,recognize
7006,adhere,acknowledge
7006,adhere,validate
7006,adhere,authenticate
7006,adhere,verify
7006,adhere,confirm
7006,adhere,corroborate
7006,adhere,substantiate
7006,adhere,bear out
7006,adhere,prove
7006,adhere,demonstrate
7006,adhere,evince
7006,adhere,manifest
7006,adhere,exhibit
7006,adhere,display
7006,adhere,show
7006,adhere,reveal
7006,adhere,unveil
7006,adhere,disclose
7006,adhere,divulge
7006,adhere,impart
7006,adhere,communicate
7006,adhere,express
7006,adhere,articulate
7006,adhere,enunciate
7006,adhere,proclaim
7006,adhere,announce
7006,adhere,declare
7006,adhere,aver
7006,adhere,assert
7006,adhere,affirm
7006,adhere,attest
7006,adhere,testify
7006,adhere,vouch
7006,adhere,swear
7006,adhere,depose
7006,adhere,certify
7006,adhere,warrant
7006,adhere,guarantee
7006,adhere,ensure
7006,adhere,assure
7006,adhere,insure
7006,adhere,secure
7006,adhere,safeguard
7006,adhere,protect
7006,adhere,defend
7006,adhere,shield
7006,adhere,guard
7006,adhere,preserve
7006,adhere,conserve
7006,adhere,maintain
7006,adhere,retain
7006,adhere,sustain
7006,adhere,uphold
7006,adhere,support
7006,adhere,bolster
7006,adhere,fortify
7006,adhere,reinforce
7006,adhere,strengthen
7006,adhere,buttress
7006,adhere,shore up
7006,adhere,prop up
7006,adhere,underpin
7006,adhere,validate
7006,adhere,authenticate
7006,adhere,verify
7006,adhere,confirm
7006,adhere,corroborate
7006,adhere,substantiate
7006,adhere,bear out
7006,adhere,prove
7006,adhere,demonstrate
7006,adhere,evince
7006,adhere,manifest
7006,adhere,exhibit
7006,adhere,display
7006,adhere,show
7006,adhere,reveal
7006,adhere,unveil
7006,adhere,disclose
7006,adhere,divulge
7006,adhere,impart
7006,adhere,communicate
7006,adhere,express
7006,adhere,articulate
7006,adhere,enunciate
7006,adhere,proclaim
7006,adhere,announce
7006,adhere,declare
7006,adhere,aver
7006,adhere,assert
7006,adhere,affirm
7006,adhere,attest
7006,adhere,testify
7006,adhere,vouch
7006,adhere,swear
7006,adhere,depose
7006,adhere,certify
7006,adhere,warrant
7006,adhere,guarantee
7006,adhere,ensure
7006,adhere,assure
7006,adhere,insure
7006,adhere,secure
7006,adhere,safeguard
7006,adhere,protect
7006,adhere,defend
7006,adhere,shield
7006,adhere,guard
7006,adhere,preserve
7006,adhere,conserve
7006,adhere,maintain
7006,adhere,retain
7006,adhere,sustain
7006,adhere,uphold
7006,adhere,support
7006,adhere,bolster
7006,adhere,fortify
7006,adhere,reinforce
7006,adhere,strengthen
7006,adhere,buttress
7006,adhere,shore up
7006,adhere,prop up
7006,adhere,underpin
7006,adhere,approximate
7006,adhere,approximate
7006,adhere,approach
7006,adhere,near
7006,adhere,resemble
7006,adhere,mirror
7006,adhere,echo
7006,adhere,simulate
7006,adhere,imitate
7006,adhere,mimic
7006,adhere,ape
7006,adhere,mock
7006,adhere,caricature
7006,adhere,parody
7006,adhere,satirize
7006,adhere,travesty
7006,adhere,lampoon
7006,adhere,burlesque
7006,adhere,deride
7006,adhere,ridicule
7006,adhere,scoff
7006,adhere,jeer
7006,adhere,taunt
7006,adhere,tease
7006,adhere,torment
7006,adhere,plague
7006,adhere,vex
7006,adhere,annoy
7006,adhere,irritate
7006,adhere,aggravate
7006,adhere,exasperate
7006,adhere,infuriate
7006,adhere,enrage
7006,adhere,madden
7006,adhere,incense
7006,adhere,provoke
7006,adhere,antagonize
7006,adhere,alienate
7006,adhere,estrange
7006,adhere,isolate
7006,adhere,segregate
7006,adhere,separate
7006,adhere,detach
7006,adhere,disconnect
7006,adhere,disengage
7006,adhere,dissociate
7006,adhere,divorce
7006,adhere,sever
7006,adhere,rupture
7006,adhere,fracture
7006,adhere,break
7006,adhere,split
7006,adhere,cleave
7006,adhere,sunder
7006,adhere,rend
7006,adhere,tear
7006,adhere,lacerate
7006,adhere,mutilate
7006,adhere,maim
7006,adhere,cripple
7006,adhere,disable
7006,adhere,impair
7006,adhere,weaken
7006,adhere,undermine
7006,adhere,sap
7006,adhere,erode
7006,adhere,corrode
7006,adhere,deteriorate
7006,adhere,degrade
7006,adhere,abase
7006,adhere,humiliate
7006,adhere,mortify
7006,adhere,chagrin
7006,adhere,disappoint
7006,adhere,discourage
7006,adhere,dishearten
7006,adhere,despair
7006,adhere,lament
7006,adhere,mourn
7006,adhere,grieve
7006,adhere,weep
7006,adhere,wail
7006,adhere,lament
7006,adhere,bemoan
7006,adhere,bewail
7006,adhere,deplore
7006,adhere,regret
7006,adhere,repent
7006,adhere,atone
7006,adhere,expiate
7006,adhere,redress
7006,adhere,remedy
7006,adhere,rectify
7006,adhere,correct
7006,adhere,amend
7006,adhere,improve
7006,adhere,enhance
7006,adhere,augment
7006,adhere,increase
7006,adhere,enlarge
7006,adhere,expand
7006,adhere,extend
7006,adhere,prolong
7006,adhere,protract
7006,adhere,lengthen
7006,adhere,widen
7006,adhere,broaden
7006,adhere,deepen
7006,adhere,heighten
7006,adhere,intensify
7006,adhere,concentrate
7006,adhere,focus
7006,adhere,hone
7006,adhere,sharpen
7006,adhere,refine
7006,adhere,polish
7006,adhere,perfect
7006,adhere,consummate
7006,adhere,achieve
7006,adhere,attain
7006,adhere,reach
7006,adhere,grasp
7006,adhere,seize
7006,adhere,capture
7006,adhere,conquer
7006,adhere,vanquish
7006,adhere,overcome
7006,adhere,surmount
7006,adhere,master
7006,adhere,control
7006,adhere,dominate
7006,adhere,subjugate
7006,adhere,enslave
7006,adhere,oppress
7006,adhere,tyrannize
7006,adhere,exploit
7006,adhere,abuse
7006,adhere,maltreat
7006,adhere,mistreat
7006,adhere,neglect
7006,adhere,abandon
