word_id,word,source
1,lucrative,derujun
2,squander,derujun
3,flimsy,derujun
4,incision,derujun
5,lethargic,derujun
6,pinnacle,derujun
7,allay,derujun
8,feat,derujun
9,ransack,derujun
10,caustic,derujun
11,frivolous,derujun
12,latitude,derujun
13,adept,derujun
14,avid,derujun
15,asylum,derujun
16,placate,derujun
17,pristine,derujun
18,blatantly,derujun
19,attire,derujun
20,offshot,derujun
21,gullible,derujun
22,hindsight,derujun
23,ambush,derujun
24,zenith,derujun
25,prognosis,derujun
26,meticulous,derujun
27,acrimony,derujun
28,propensity,derujun
29,entice,derujun
30,alienate,derujun
31,exonerate,derujun
32,clamor,derujun
33,respite,derujun
34,huddle,derujun
35,figment,derujun
36,tenacious,derujun
37,extol,derujun
38,aversion,derujun
39,immaculate,derujun
40,gregarious,derujun
41,ostracize,derujun
42,uncouth,derujun
43,salient,derujun
44,mayhem,derujun
45,defunct,derujun
46,petrify,derujun
47,invoke,derujun
48,rebuke,derujun
49,accolade,derujun
50,solace,derujun
51,fervent,derujun
52,apathetic,derujun
53,catalyst,derujun
54,wane,derujun
55,clout,derujun
56,override,derujun
57,secede,derujun
58,appall,derujun
59,debunk,derujun
60,vent,derujun
61,recuperate,derujun
62,epitomize,derujun
63,rift,derujun
64,divulge,derujun
65,dwindle,derujun
66,denote,derujun
67,exodus,derujun
68,hereditary,derujun
69,corroborate,derujun
70,inscrutable,derujun
71,emaciated,derujun
72,affront,derujun
73,fiasco,derujun
74,aloof,derujun
75,altruistic,derujun
76,quandary,derujun
77,embellish,derujun
78,renege,derujun
79,nudge,derujun
80,indoctrinate,derujun
81,remorse,derujun
82,delude,derujun
83,defuse,derujun
84,precarious,derujun
85,feign,derujun
86,abject,derujun
87,ulterior,derujun
88,lambaste,derujun
89,commiserate,derujun
90,flagrant,derujun
91,flout,derujun
92,inculcate,derujun
93,infer,derujun
94,emulate,derujun
95,alleviate,derujun
96,staunch,derujun
97,disseminate,derujun
98,baffle,derujun
99,menial,derujun
100,candid,derujun
101,irate,derujun
102,clique,derujun
103,sporadic,derujun
104,abate,derujun
105,idyllic,derujun
106,exquisite,derujun
107,tarnish,derujun
108,vindicate,derujun
